id,originality
1087,0
1093,1
1094,1
1102,0
1104,1
1118,0
1121,0
1123,0
1129,0
1133,2
1138,0
1141,2
1147,0
1159,0
1162,0
1163,0
1174,0
1176,0
1180,0
1186,0
1192,0
1193,0
1194,0
1195,0
1205,0
1209,1
1221,0
1226,0
1228,0
1230,0
1258,0
1286,0
1320,0
1328,0
1330,1
1334,0
1347,0
1352,0
1362,0
1366,0
1367,0
1372,0
1373,1
1382,1
1402,0
1407,0
1413,1
1417,0
1425,1
1440,0
1442,0
1449,0
1450,0
1453,0
1458,0
1460,0
1461,0
1463,1
1464,0
1466,0
1472,0
1488,0
1497,0
1500,0
1503,1
1506,0
1507,1
1511,0
1513,1
1514,0
1518,0
1525,0
1526,0
1527,0
1528,0
1531,1
1533,0
1543,1
1547,0
1551,1
1559,1
1563,0
1587,1
1598,0
1599,0
1603,0
1610,0
1614,0
1621,1
1622,0
