id,originality
1087,1
1093,0
1094,0
1102,1
1104,1
1118,0
1121,0
1123,1
1129,0
1133,1
1138,0
1141,0
1147,0
1159,0
1162,0
1163,0
1174,0
1176,0
1180,0
1186,1
1192,0
1193,0
1194,0
1195,0
1205,0
1209,0
1221,0
1226,0
1228,1
1230,0
1258,0
1286,0
1320,0
1328,0
1330,0
1334,0
1347,0
1352,0
1362,0
1366,0
1367,0
1372,0
1373,0
1382,0
1402,0
1407,0
1413,1
1417,0
1425,0
1440,0
1442,0
1449,0
1450,0
1453,1
1458,0
1460,0
1461,0
1463,0
1464,0
1466,0
1472,0
1488,1
1497,0
1500,0
1503,0
1506,0
1507,1
1511,0
1513,0
1514,0
1518,0
1525,0
1526,0
1527,0
1528,0
1531,0
1533,0
1543,0
1547,0
1551,0
1559,0
1563,1
1587,1
1598,0
1599,0
1603,0
1610,0
1614,0
1621,0
1622,1
